"kind","line"
"what","AND OUR FIRST BALL IS: {What}!"
"what","Ladies and gentlemen, {what}!"
"what","Rolling out first tonight: {what}!"
"what","You heard it here first, folks: {what}!"
"what","Ball number one, coming up: {what}!"
"what","Straight out of the hopper: {what}!"
"what","Give it up for {what}!"
"what","Round one goes to {what}!"
"premise","And it's all about {premise}, unbelievable!"
"premise","Paired up tonight with {premise}!"
"premise","Rolling with {premise}, folks!"
"premise","Teamed with {premise} — what a combination!"
"premise","And the theme tonight is {premise}!"
"premise","Matched with {premise}, live on stage!"
"direction-visual","and the final ball says it's {style}"
"direction-visual","styled tonight in {style}, would you believe it"
"direction-visual","dressed up in {style} for the big finish"
"direction-mechanism","and it plays on {mechanism} — the crowd goes wild"
"direction-mechanism","powered tonight by {mechanism}"
"direction-mechanism","running on pure {mechanism}, folks"
"direction-behaviour","and get this, {behaviour}"
"direction-behaviour","plus, hold onto your hats, {behaviour}"
"direction-behaviour","and for the grand finale, {behaviour}"
"direction-technical","one rule and one rule only, {technical}"
"direction-technical","final ball, final rule, {technical}"
"direction-technical","and the house rule tonight is {technical}"
"held-what","{What} stays on the board — a real crowd favourite!"
"held-what","Holding steady with {what}!"
"held-premise","Sticking with {premise} for another round!"
"held-premise","{Premise} stays locked in, folks!"
"held-direction","and {direction} is locked in for another spin"
"held-direction","keeping {direction} right where it is"
"nod","WHAT A DRAW, LADIES AND GENTLEMEN!"
"nod","YOU COULD NOT WRITE THIS, FOLKS!"
"nod","THAT'S A JACKPOT IDEA IF I'VE EVER SEEN ONE!"
"nod","ROLL THE CREDITS, WE'RE DONE HERE!"
"nod","TELL THEM WHAT THEY'VE WON!"
"nod","BIGGER THAN LAST WEEK'S DRAW!"
"nod","THE AUDIENCE IS ON ITS FEET!"
"nod","WE HAVE A WINNER!"
"nod","DON'T TOUCH THAT DIAL!"
"nod","SOMEBODY CALL THE PRESS!"
