family,item,badge
Abstract,Awkwardness,awkward-wave
Abstract,Care,plaster-heart
Abstract,Chance,four-leaf
Abstract,Change,butterfly
Abstract,Choice,two-doors
Abstract,Clutter,junk-drawer
Abstract,Coincidence,two-pigeons
Abstract,Control,puppet
Abstract,Decay,apple-core
Abstract,Desire,cake-dome
Abstract,Friction,matchstick
Abstract,Luck,horseshoe
Abstract,Minor inconvenience,shoe-pebble
Abstract,Ownership,flag-molehill
Abstract,Patience,bonsai
Abstract,Permission,hall-pass
Abstract,Privacy,keyhole
Abstract,Promises,pinky-swear
Abstract,Repair,darned-sock
Abstract,Repetition,rubber-stamp
Abstract,Rules,ruler
Abstract,Rules nobody remembers,dusty-scroll
Abstract,Secrets,shush
Abstract,Silence,clapperless-bell
Abstract,Taking things too seriously,monocle
Abstract,Taste,tongue-out
Abstract,The illusion of progress,hamster-wheel
Abstract,The value of nothing,empty-gift
Abstract,Time,clock
Abstract,Trust,trust-fall
Abstract,Uncertainty,shrug
Abstract,Unearned confidence,snail-crown
Abstract,Value,diamond
Abstract,Weather,rain-cloud
Abstract,Wrong kind of expertise,fish-bicycle
Digital life,Algorithmic taste,eye-spoon
Digital life,Artificial intimacy,robot-heart
Digital life,Constant availability,open-sign
Digital life,Data shadows,binary-shadow
Digital life,Digital inheritance,usb-ribbon
Digital life,Endless consumption,infinity
Digital life,Endless scroll,endless-scroll
Digital life,Frictionless choice,slide
Digital life,Human-made versus machine-made,hand-cog
Digital life,Manufactured authenticity,heart-factory
Digital life,Platform dependence,platform-shoe
Digital life,Synthetic memory,floppy-brain
Digital life,The algorithm,eye-triangle
Digital life,The button that does nothing,dud-button
Digital life,The myth of inbox zero,unicorn-envelope
Digital life,The quantified self,tape-heart
Digital life,The right to disconnect,unplugged
Digital life,Unreadness,notification-dot
Digital life,Visibility,spotlight
Digital life,What the algorithm knows,keyhole-eye
Digital life,Who gets to be seen,missed-spotlight
Everyday life,Checking the fridge again,fridge-lemon
Everyday life,Choosing something to watch,remote
Everyday life,Finding the correct Tupperware lid,tupperware
Everyday life,Making a shared playlist,mixtape-heart
Everyday life,Pretending to understand the wine list,wine-eyebrow
Everyday life,Reheating a cup of tea,mug-microwave
Everyday life,Saying goodbye twice,double-wave
Everyday life,Starting a new notebook,fresh-notebook
Everyday life,"The ""no, you go"" dance",door-bow
Everyday life,Writing a birthday message in a card,card-pen
Ritual,Hitting snooze,snoring-alarm
Ritual,Making tea for everyone,teapot
Ritual,Moving house,moving-box
Ritual,Packing for a holiday,suitcase
Ritual,Queuing,queue
Ritual,Reading the terms and conditions,tiny-print
Ritual,Returning something to a shop,receipt-uturn
Ritual,Small talk,weather-bubble
Ritual,Splitting the bill,split-coin
Ritual,The office birthday card,signed-card
Ritual,The weekly food shop,trolley
Ritual,Watering the plants,watering-can
Social,Belonging,jigsaw-fit
Social,Being fashionably late,clock-sunglasses
Social,Comparison,scales
Social,Conformity,sheep-row
Social,Fake urgency,cardboard-siren
Social,First impressions,handshake
Social,Gossip,big-ear
Social,Group ordering,pizza-slices
Social,Humour,rubber-chicken
Social,Humblebragging,sweaty-trophy
Social,Inclusion and exclusion,circle-one-out
Social,Inside jokes,wink
Social,Leaving the party,tiptoe-exit
Social,Left on read,double-tick
Social,Name-dropping,falling-nametag
Social,Performance,stage-curtains
Social,Petty competition,arm-wrestle
Social,Reputation,four-stars
Social,Rounding up,lasso
Social,Social debt,iou-note
Social,Status,crown
Social,The group chat,speech-pile
Social,The pressure to respond,sweaty-dots
Social,The shared taxi home,taxi-moon
Social,The awkward handover,baton
Social,The fear of missing out,party-window
Social,The office microwave,microwave-queue
Social,Togetherness,paper-chain
Social,Tipping,tip-jar
Social,Typing and deleting,backspace
Social,Unnecessary formality,top-hat
State,Anticipation,popcorn
State,Being almost asleep,droopy-eye
State,Being caught in the rain,rain-figure
State,Boredom,yawn
State,Brain fog,foggy-brain
State,Déjà vu,cat-twice
State,Decision fatigue,drooping-signpost
State,False confidence,paper-crown
State,Feeling productive without doing anything,empty-ticklist
State,Forgetting a word,tongue-question
State,Getting lost,maze
State,Having a crush,heart-eyes
State,Homesickness,house-tear
State,Jet lag,plane-nightcap
State,Nostalgia,faded-polaroid
State,Overthinking,tangled-thread
State,Phantom phone vibrations,ghost-phone
State,Procrastination,sloth
State,Realising you were wrong,facepalm
State,Running late,clock-legs
State,Second-hand embarrassment,peeking-fingers
State,The 3am version of yourself,wide-eyed-moon
State,The feeling of having forgotten something,finger-string
State,The Sunday scaries,ghost-briefcase
State,Trying not to laugh,pressed-lips
State,Waiting,hourglass
Time & attention,Forgetting,goldfish-bowl
Time & attention,Maintenance,spanner
Time & attention,Scarcity of attention,squirrel
Time & attention,Slowness,snail
Time & attention,The future,rocket
