motif,description,tone
cursor-flowers,an arrow cursor sprouting tiny flowers where it has been,witty
cloud-sun,a cloud with a sun peeping out,literal
snow-globe,a snow globe with a tiny house inside,literal
bust-sunglasses,a classical bust wearing sunglasses,witty
window-curtains,a four-pane window with curtains,literal
ouroboros,a snake eating its own tail,witty
checker-bloom,a checkerboard with one flower growing out of it,witty
breathing-knit,a knitted swatch with a tiny heartbeat line,witty
hand-mirror,a hand mirror with a sparkle,literal
bouncing-logo,a bouncing logo about to hit the corner,witty
snail-trail,a snail leaving a dotted trail,witty
flowers-ears,a row of flowers with little ears,witty
shoebox-scene,an open shoebox with a tree inside,literal
archive-box,an archive box with a label,literal
catalogue,a catalogue with a dog-eared corner,literal
pinned-butterfly,a butterfly pinned in a frame,witty
signpost,a signpost with three arrows,literal
picture-frame,a gilt frame with a tiny landscape,literal
chef-hat,a chef's hat with an order ticket,witty
market-stall,a market stall with a striped awning,literal
price-tag,a price tag on a string,literal
shopfront,a little shopfront with an awning,literal
swap-arrows,two arrows swapping a heart for a star,witty
soapbox,a soapbox with a megaphone on it,witty
quill-book,an open book with a quill,literal
corkboard,a corkboard with three pins,literal
clinking-cups,two teacups clinking,witty
two-brushes,two paintbrushes crossed,literal
pen-tool,a vector pen nib with curve handles,literal
camera,a boxy camera with a flash,literal
keys-note,a little keyboard with a music note,literal
typewriter,a typewriter with a page in it,literal
treasure-map,a map with an X,literal
joystick,a joystick with a red ball,literal
jigsaw,a jigsaw piece,literal
drum,a drum with sticks,literal
sim-house,a house with a green diamond floating above it,witty
chess-knight,a chess knight,literal
question-block,a question-mark block,literal
letter-tiles,three letter tiles,literal
trophy,a trophy,literal
compass,a compass,literal
apple-books,an apple on a stack of books,literal
dumbbell,a dumbbell,witty
bookshelf,books leaning on a shelf,literal
dot-heart,lots of dots that together make a heart,witty
gauge,a speedometer gauge,literal
phone-goldfish,a goldfish swimming inside a phone,witty
sundial,a sundial,literal
umbrella,an umbrella in the rain,literal
magnifier-chart,a magnifying glass over a bar chart,literal
tour-flag,a tour guide's raised flag,witty
folded-map,a folded map with a pin,literal
timeline,a line of dots ending in a flag,literal
binoculars,binoculars,literal
flower,a flower,literal
armchair-lamp,an armchair with a lamp,literal
diary-lock,a diary with a little lock,literal
house-cursor,a house with a cursor for a door knocker,witty
cameo,a silhouette in an oval cameo,literal
moon-phases,moon phases in a row,literal
velvet-rope,a velvet rope on two posts,witty
stapled-zine,a folded zine with one big staple,literal
beetle,a beetle,literal
envelope,an envelope,literal
eye-quill,an eye with a quill for a lash,witty
scissors-glue,scissors and a glue stick,literal
heart-seesaw,two hearts on a seesaw,witty
tarot-sun,a tarot card with a sun,literal
clipboard,a clipboard with ticks,literal
pencil-circle,a pencil circling an answer,witty
pond-moon,a pond reflecting the moon,witty
dice-branches,a die with branching arrows,witty
vr-goggles,a pair of VR goggles,literal
thought-question,a thought bubble with a question mark,literal
globe,a globe on a stand,literal
forked-path,a path that forks,literal
book-arrows,a book with two arrows coming out,witty
scroll,an unrolled scroll,literal
castle,a castle on a hill,literal
calculator,a calculator,literal
cat-to-dog,"a cat, an arrow, a dog",witty
coin-flip,a coin mid-flip,literal
calendar,a calendar page,literal
bulb-question,a lightbulb with a question mark,witty
dice,a pair of dice,literal
egg-timer,an egg timer shaped like an egg,witty
footprints,a trail of footprints,literal
fidget-spinner,a fidget spinner,literal
sketch-toy,a drawing toy with two knobs,literal
paper-fortune,a paper fortune teller,literal
crank-sparkles,a crank handle with sparkles coming out,witty
crystal-ball,a crystal ball,literal
cassette-scissors,a cassette tape and scissors,witty
big-buttons,a panel of big round buttons,literal
awkward-wave,a hand waving back at someone who wasn't waving,witty
plaster-heart,a heart with a plaster on it,witty
four-leaf,a four-leaf clover,literal
butterfly,a butterfly,literal
two-doors,two doors,literal
junk-drawer,an overflowing drawer,literal
two-pigeons,two identical pigeons,witty
puppet,a puppet on strings,witty
apple-core,an apple core,literal
cake-dome,a slice of cake under a glass dome,witty
matchstick,a match being struck,witty
horseshoe,a horseshoe,literal
shoe-pebble,a pebble in a shoe,witty
flag-molehill,a flag planted on a tiny molehill,witty
bonsai,a bonsai tree,witty
hall-pass,a hall pass on a lanyard,witty
keyhole,a keyhole,literal
pinky-swear,two linked little fingers,literal
darned-sock,a darned sock,witty
rubber-stamp,a rubber stamp,witty
ruler,a ruler,witty
dusty-scroll,a scroll covered in cobwebs,witty
shush,a finger over lips,literal
clapperless-bell,a bell with no clapper,witty
monocle,a monocle,witty
tongue-out,a tongue sticking out,witty
hamster-wheel,a hamster wheel,witty
empty-gift,an empty box with a bow,witty
clock,a clock,literal
trust-fall,a figure falling backwards,witty
shrug,a shrug,literal
snail-crown,a snail wearing a tiny crown,witty
diamond,a diamond,literal
rain-cloud,a rain cloud,literal
fish-bicycle,a fish riding a bicycle,witty
eye-spoon,an eye in a spoon,witty
robot-heart,a robot holding out a heart,witty
open-sign,an open sign that never flips,witty
binary-shadow,a figure whose shadow is made of ones and zeros,witty
usb-ribbon,a USB stick tied with a ribbon,witty
infinity,an infinity knot,literal
endless-scroll,a scroll that runs off the badge,witty
slide,a playground slide,witty
hand-cog,a hand and a cog,literal
heart-factory,a factory chimney puffing out hearts,witty
platform-shoe,a teetering platform shoe,witty
floppy-brain,a floppy disk shaped like a brain,witty
eye-triangle,an eye in a triangle,witty
dud-button,a big button with a tiny question mark,witty
unicorn-envelope,a unicorn on an envelope,witty
tape-heart,a tape measure round a heart,witty
unplugged,an unplugged plug,literal
notification-dot,a red notification dot,literal
spotlight,a spotlight,literal
keyhole-eye,an eye peeping through a keyhole,witty
missed-spotlight,a spotlight just missing a little figure,witty
fridge-lemon,an open fridge with one lonely lemon,witty
remote,a remote control,literal
tupperware,a stack of mismatched lids,literal
mixtape-heart,a mixtape with a heart on it,literal
wine-eyebrow,a wine glass with a raised eyebrow,witty
mug-microwave,a mug going round in a microwave,witty
double-wave,two waving hands,witty
fresh-notebook,a notebook with sparkles,literal
door-bow,two little figures bowing at a door,witty
card-pen,a card with a pen hovering over it,literal
snoring-alarm,an alarm clock snoring,witty
teapot,a teapot,literal
moving-box,a cardboard box with a lamp poking out,literal
suitcase,an overstuffed suitcase,literal
queue,three little figures in a line,literal
tiny-print,a magnifying glass over tiny print,witty
receipt-uturn,a receipt with a U-turn arrow,literal
weather-bubble,a speech bubble with a cloud in it,witty
split-coin,a coin cut in half,witty
signed-card,a card covered in signatures,literal
trolley,a shopping trolley,literal
watering-can,a watering can,literal
jigsaw-fit,a jigsaw piece slotting in,witty
clock-sunglasses,a clock wearing sunglasses,witty
scales,a pair of scales,literal
sheep-row,a row of identical sheep,witty
cardboard-siren,a siren made of cardboard,witty
handshake,a handshake,literal
big-ear,a very big ear,witty
pizza-slices,a pizza with slices missing,literal
rubber-chicken,a rubber chicken,witty
sweaty-trophy,a trophy with a sweat drop,witty
circle-one-out,a circle of dots with one outside,literal
wink,a winking face,literal
tiptoe-exit,footprints tiptoeing out of a door,witty
double-tick,two ticks,literal
falling-nametag,a name tag falling,witty
stage-curtains,a stage with curtains,literal
arm-wrestle,two arms wrestling,literal
four-stars,a row of stars with one missing,literal
lasso,a lasso,witty
iou-note,an IOU note,literal
crown,a crown,literal
speech-pile,a pile of speech bubbles,literal
sweaty-dots,"three typing dots, sweating",witty
taxi-moon,a taxi under the moon,literal
baton,a relay baton mid-handover,witty
party-window,a party glimpsed through a window,witty
microwave-queue,a microwave with a queue,witty
paper-chain,paper-chain people holding hands,literal
tip-jar,a tip jar,literal
backspace,a backspace key,literal
top-hat,a top hat,witty
popcorn,a bucket of popcorn,witty
droopy-eye,a half-closed eye,literal
rain-figure,a little figure with a rain cloud overhead,literal
yawn,a yawning face,literal
foggy-brain,a brain in a cloud,literal
cat-twice,the same cat passing twice,witty
drooping-signpost,a drooping signpost,witty
paper-crown,a paper crown,witty
empty-ticklist,a to-do list with ticks and nothing written,witty
tongue-question,a tongue with a question mark on it,witty
maze,a maze,literal
heart-eyes,a face with heart eyes,literal
house-tear,a little house with a tear,witty
plane-nightcap,a plane wearing a nightcap,witty
faded-polaroid,a faded polaroid,literal
tangled-thread,a tangle of embroidery thread,witty
ghost-phone,a ghost-shaped phone buzzing,witty
sloth,a sloth hanging from a branch,witty
facepalm,a facepalm,literal
clock-legs,"a clock with legs, running",witty
peeking-fingers,a face peeking through fingers,literal
wide-eyed-moon,a crescent moon with wide eyes,witty
finger-string,a string tied round a finger,literal
ghost-briefcase,a ghost carrying a briefcase,witty
pressed-lips,a face with pressed lips and a snort,witty
hourglass,an hourglass,literal
goldfish-bowl,a goldfish in a bowl,witty
spanner,a spanner,literal
squirrel,a squirrel,witty
snail,a snail,literal
rocket,a rocket,literal
upside-down-house,a house upside down,witty
crab,a crab,witty
coin-slot,a coin slot,literal
anvil,an anvil,witty
sorry-bow,a figure bowing with a sweat drop,witty
raised-hand,a raised hand,literal
sleepy-moon,a sleepy moon,witty
parrot,a parrot,witty
siren,a flashing siren,literal
books-glasses,a stack of books wearing glasses,witty
tiny-storm,a tiny storm cloud,witty
busy-bee,a very busy bee,witty
button-rosette,a prize rosette pinned to a tiny button,witty
puppy,a puppy with its tongue out,witty
melting-face,a melting face,witty
duck-moustache,a duck in a fake moustache,witty
coffee-steam,a coffee cup with steam,literal
polite-note,a sticky note with a tight smile,witty
raised-eyebrow,a raised eyebrow,witty
dry-pen,a pen with one last drop of ink,literal
mouse-hole,a mouse peeking from a hole,witty
tin-pearls,a tin can wearing pearls,witty
three-heads,three heads facing different ways,witty
weathervane,a spinning weathervane,witty
megaphone,a megaphone,literal
tandem,a tandem bicycle,witty
tortoise,a tortoise,literal
shell-game,"three cups, one lifted",witty
flip-phone,a flip phone,witty
elephant,an elephant,witty
deerstalker,a detective's hat,witty
wilting-flower,a drooping flower,witty
groucho-glasses,a pair of disguise glasses with a nose,witty
staff-lanyard,a staff lanyard,witty
friendship-bracelet,a friendship bracelet,witty
arrow-handshake,two arrows shaking hands,witty
cursor-kettlebell,a cursor chained to a kettlebell,witty
one-button,a single big button,literal
anchor,an anchor,literal
shark-fin,a shark fin,witty
bandwagon,a wagon with a drum on it,witty
jam-jars,a wall of jam jars,witty
nodding-dog,a nodding dog,witty
dunce-crown,a dunce cap worn like a crown,witty
hugged-mug,arms hugging a mug,witty
halo,a halo,literal
allen-key,an Allen key,literal
dropped-ice-cream,a dropped ice cream,witty
fresh-bread,a loaf fresh out of the oven,witty
sinking-ship,a sinking ship,witty
dotted-plane,a plane covered in little dots,witty
easel,an easel,witty
paint-roller,a paint roller,witty
tilted-phone,a tilted phone with a rolling ball,literal
smiley,a smiley face,literal
picnic-table,a picnic table,witty
tiny-screen,a very tiny screen,literal
keycap,a keyboard key,literal
rotary-phone,a rotary phone,witty
typewriter-key,a round typewriter key,literal
ufo-no,a UFO with a no symbol,witty
crossed-frame,a crossed-out picture frame,literal
crossed-coffee,a crossed-out coffee cup,witty
stop-hand,a stop hand,literal
one-size-sock,a one-size-fits-all sock,witty
owl,an owl,witty
ear-trumpet,an ear trumpet,witty
two-swatches,two thread spools,literal
feather,a feather,witty
microphone,a microphone,literal
