"kind","line"
"what","The first card turns, darling: {what}"
"what","I see {what}"
"what","The cards have spoken. {What}"
"what","Ooh. {What}"
"what","The mists part to reveal {what}"
"what","Cross my palm with silver: {what}"
"what","It's written in the stars. {What}"
"what","The Fool reversed, which obviously means {what}"
"premise","bound up with {premise}."
"premise","and the spirits whisper of {premise}."
"premise","haunted, beautifully, by {premise}."
"premise","drawing its power from {premise}."
"premise","with {premise} rising in the third house."
"premise","channelling the ancient energy of {premise}."
"premise","steeped in {premise}, as foretold."
"premise","ruled by {premise}. Very Scorpio."
"direction-visual","The final card: {style} aesthetic, which the ancestors love"
"direction-visual","And I'm seeing {style}. The crystal ball agrees"
"direction-visual","The spirits insist on {style}, visually"
"direction-visual","Draped head to toe in {style}, as the prophecy said"
"direction-behaviour","But beware, {behaviour}"
"direction-behaviour","The last card warns that {behaviour}"
"direction-behaviour","The omens are clear: {behaviour}"
"direction-mechanism","Its dark magic plays on {mechanism}"
"direction-mechanism","The final card bends minds with {mechanism}"
"direction-mechanism","Old magic, this. It plays on {mechanism}"
"direction-technical","The spirits demand one sacred rule: {technical}"
"direction-technical","The final card is very clear. {Technical}"
"direction-technical","Written in the tea leaves: {technical}"
"held-what","You kept {what}, wise soul,"
"held-what","The {thing} returns, as it always does,"
"held-premise","still tangled up with {premise}, as the cards foretold."
"held-premise","and {premise} lingers, like incense."
"held-direction","The kept card holds firm: {direction}"
"held-direction","And {direction}, still, because destiny is a brand"
"nod","The vibes are immaculate."
"nod","Mercury is in retrograde, no cap."
"nod","Very main character reading."
"nod","Manifesting it. Periodt."
"nod","The spirits say slay."
"nod","Big aura, as foretold."
"nod","It's giving prophecy."
"nod","Delulu, but make it destiny."
"nod","The ancestors understood the assignment."
"nod","Lowkey fated."
"nod","That'll be two tokens, bestie."
